title,company,experience,location,description,skills,posted
Associate Research Analyst,Clarivate,0-2 Yrs,Bengaluru,"Experience, education, skills a Must have for this role. Graduate degree in with releva...","market research, ms office products, testing tools, recruitment, crm, analysts, pharmaceutical, project management",2 weeks ago
Data Analyst Intern (UnPaid),Saveo,0-1 Yrs,Bengaluru,What Were Looking For. Bachelors degree or final year students can also apply. Good ana...,"Data Analysis, python, data analytics, natural language processing, data mining, power bi, business analysis, pivot table",4 days ago
Senior Business Analyst,BNP Paribas,7-11 Yrs,Bengaluru,Must have experience in implementing GRC solutionsEnsure proper escalation whenever req...,"process analysis, archer, grc, project life cycle, qualys, risk management, project management, nexpose",3 weeks ago
Senior - Business Analyst,KPMG India,2-5 Yrs,Bengaluru,. Good understanding of global regulatory requirements and standardsProven experience i...,"remediation, Root cause analysis, Data analysis, Kaizen, Regulatory reporting, Business analysis, Senior Business Analyst, international clients",3+ weeks ago
Senior Business Analyst -Product Marketing,Infineon,2-4 Yrs,Bengaluru,"Experience with data science and machine learning libraries such as Python, R, TensorFl...","Computer science, Product management, Data analysis, Automation, Semiconductor, Data management, Analytical, Data quality",3+ weeks ago
Senior Product Control IT Business Analyst,Emagine Infotech Software,3-6 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","With experience spanning all asset classes, they demonstrate exceptional stakeholder ma...","python, data analysis, stakeholder management, power bi, Data, Product control, Business analysis, Senior",3+ weeks ago
Senior Product Control IT Business Analyst Kostas team,Emagine Infotech Software,3-6 Yrs,Bengaluru,Introduction & Summary: We are seeking a Senior Product Control IT Business Analyst to ...,"python, environment, leadership, communication skills, Senior, Product control, Control, Team",3+ weeks ago
"Sr Business Analyst, Amazon",Amazon,5-10 Yrs,Bengaluru,Experience defining requirements and using data and metrics to draw business insights a...,"Assistant Manager Operations, metadata, Business Analyst, Financial analysis, Analytical, Machine learning, data visualization, Monitoring",3+ weeks ago
Senior Business Analyst,Haier Appliances,5-8 Yrs,"Bengaluru, Hyderabad","Bachelor s or Master s degree in Business, Information Systems, Supply Chain, or relate...","Business process, Supply chain, Order management, Process automation, Process optimization, Project management, Machine learning, Agile",3+ weeks ago
Senior Business Analyst,BNP Paribas,7-11 Yrs,Bengaluru,Must have experience in implementing GRC solutionsEnsure proper escalation whenever req...,"process analysis, archer, grc, project life cycle, qualys, risk management, 199845152, project management",3 weeks ago
Senior Business Analyst - Collateral - Global Markets IT,BNP Paribas,6-11 Yrs,Bengaluru,"Position PurposeThe Collateral Management IT department comprises of project managers, ...","business analysis, sql, visio, amadeus, agile, project management, strategic sourcing, international ticketing",3 weeks ago
Senior Business Analyst,Omega Healthcare,2-4 Yrs,Bengaluru,Experience with CRM / IT enabled services / BPO industry is preferred We are looking fo...,"business analysis, market research, it enabled services, business operations, crm, project management, gap analysis, power bi",1 day ago
Senior Business Analysis - Product owner,Capco,7-12 Yrs,Bengaluru,Role DescriptionDefine and communicate the product vision and roadmap in alignment with...,"business analysis, user stories, sprint planning, product vision, agile, management consulting, product strategy, project management",3+ weeks ago
Senior Business Analyst,CGI,6-11 Yrs,Hybrid - Bengaluru,"Your future duties and responsibilities:Leading the definition of the product vision, r...","it business analysis, application lifecycle management, trade life cycle, scrum, agile, sqlite, business analysis, functional testing",2 weeks ago
Senior R&D Technologist - Clinical Business Analyst,ZS,3-6 Yrs,"Bengaluru, Pune",A flexible and connected ZS allows us to combine work from home and on-site presence at...,"Automation, SAS, Business analysis, Pharma, Consulting, Financial planning, Oracle, Risk management",2 weeks ago
Senior Business Analyst,Zeta Inc.,5-8 Yrs,"Bengaluru, Pune","You will be required to elucidate and document detailed client requirements, technical ...","Analytical skills, Business administration, Business Analyst, SAAS, Cloud, Data analytics, Stakeholder management, Core banking",3+ weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, talent engagement, project management, program management, presales",3 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, talent engagement, project management, program management, training",3 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, training need analysis, project management, behavioural training, training management",3 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, otc, accounts receivable, project management, program management",3 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, talent engagement, project management, team management, program management",3 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, hrsd, human resource management, talent development, recruitment, hr generalist activities, employee relations, corporate hr",3 weeks ago
T&T - Customer - CS&D - Senior Consultant | Business Analyst,Deloitte Consulting,1-5 Yrs,Bengaluru,. - Must have been a part of banking app design / rollout and launch . - Must have glob...,"Change management, Data management, Performance management, TDD, Machine learning, Agile, Business intelligence, JIRA",3 weeks ago
Business Advisory Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Trust & Safety - Anti-Money Laundering (...,"project management, business advisory, business strategy, corporate strategy, stress analysis, management consulting, fea, business analysis",3+ weeks ago
SAP Commerce Senior Business Analyst,Robert Bosch Engineering and Business Solutions Private Limited,3-6 Yrs,"Bengaluru, Hosur",Minimum 10 Years of Experience as Business Analyst or Product Owner Role for SAP Commer...,"Order management, Product management, data cleansing, ERP, SAP, Data management, Consulting, Customer support",3+ weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, human resource management, talent development, talent management, recruitment, hr generalist activities, corporate hr, strategic hr",3+ weeks ago
Sr Warehouse Management Business Analyst,Kimberly-Clark Corporation,3-6 Yrs,Bengaluru,Primary Location IT Centre Bengaluru GDTC . Additional Locations . Worker Type Employee...,"Supply chain, Business process, DTS, SAP, Business analysis, Consulting, Flex, SCM",3+ weeks ago
Senior Business Analyst,Infineon,6-8 Yrs,Bengaluru,"The Business Analyst is a key role within the DCI organization, in providing data inte...","Semiconductor, Business analysis, Agile, Data quality, data integrity, Operations, Analytics, Reporting tools",3+ weeks ago
Senior Business Analyst-Salesforce,Icertis,6-11 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Develop and maintain documentation such as business requirement documents (BRDs), proce...","Computer science, Automation, Contract management, Analytical, Gap analysis, SOW, SDLC, CRM",3+ weeks ago
Business Intelligence Senior Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,2-6 Yrs,Bengaluru,"Skills and Experience Business analysis, consulting / advisory and / or project or clie...","Business Intelligence, Alteryx, Tableau, Databricks, JLL, data visualization, Data analytical, Business Analysis",1 week ago
India Market Unit -SDP Analyst,Accenture,0-5 Yrs,Bengaluru,Delivery ownership and excellence . Qualification . Professional qualifications . Rich ...,"account management, domestic, client relationship management, marketing analytics, sdp, udp, tcp, c++",1 week ago
Senior Analyst - Business Analytics & Insights,Inmobi,3-6 Yrs,Bengaluru,You have a track record of driving actionable insights that result in measurable growth...,"Analyst, SAN, Data analysis, Project management, Business analytics, Analytical, Consulting, Data collection",3+ weeks ago
Senior Business Analyst I-SAP EWM,Novo Nordisk,4-7 Yrs,Bengaluru,DepartmentDD&IT Product Supply. Do you want to play a key role in the Warehouse 4. 0 ...,"sap ewm, mm, sap, troubleshooting, ewm, agile, Senior, Business analysis",3+ weeks ago
Regulatory Reporting Operations Analyst,Deutsche Bank,0-3 Yrs,Bengaluru,Role DescriptionWe are seeking a detail-oriented Operations Analyst to handle the initi...,"documentation, regulatory reporting, pc, desktop, financial reporting, bloomberg, asset management, regulatory",2 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"risk management, business analysis, hrsd, talent development, recruitment, hr generalist activities, corporate hr, human resource management",2 weeks ago
"Senior, ERP Business Analyst",Schneider Electric India Pvt. Ltd.,5-10 Yrs,Bengaluru,Qualifications and Experience A bachelors degree in commerce from an accredited college...,"ERP, SAP, Project management, Analytical, ICWA, Agile, Commerce, Cima",2 weeks ago
Service Desk Analyst - L1,Wipro,0-4 Yrs,Bengaluru,Role Purpose The purpose of this role is to the first point of contact for t...,"customer service, it service desk, service desk, ti, mis, c++, housekeeping, spi",1 week ago
Service Desk Analyst - L1,Wipro,0-4 Yrs,Bengaluru,Role PurposeThe purpose of this role is to the first point of contact for the B2B users...,"customer service, it service desk, service desk, ti, mis, c++, housekeeping, spi",1 week ago
Credit Support - Operations Analyst,JPMorgan Chase Bank,0-3 Yrs,Bengaluru,"Hold a bachelors degree in finance or a related field, or possess equivalent work exper...","Product management, Loans, Financial statements, loan servicing, Service level, Operations Analyst, Analytical, Reconciliation",1 week ago
Content Management - Analyst,Grant Thornton India Pvt Ltd,0-1 Yrs,Bengaluru,Good analytical and problem-solving abilities. .,"Content management, Excel, Analytical, Management, microsoft, Web content, Powerpoint, Sharepoint",1 week ago
SALES & MARKETING ANALYST (INTERN / GET),TE Connectivity,0-1 Yrs,Bengaluru,Good exposure to automotive OEMs / Tier-1s creating report as requiredMBA preferred (O...,"sales, catia, promotions, marketing analytics, creo, sales forecasting, bidding, market development",1 week ago
